ID,Time,CPU,Memory,Disk,Load Average
1,2026-06-14 00:57:37,99.5,79.4,21.4,"(0.40673828125, 0.220703125, 0.18798828125)"
2,2026-06-14 00:57:40,91.4,84.2,21.4,"(0.77490234375, 0.30029296875, 0.2138671875)"
3,2026-06-14 00:57:43,93.2,82.1,21.4,"(0.77490234375, 0.30029296875, 0.2138671875)"
4,2026-06-14 00:57:54,93.2,77.5,21.5,"(1.05322265625, 0.38427734375, 0.2431640625)"
5,2026-06-14 00:57:59,80.8,77.3,21.5,"(1.52978515625, 0.494140625, 0.27978515625)"
6,2026-06-14 00:58:04,84.3,77.9,21.5,"(2.12841796875, 0.6357421875, 0.32666015625)"
7,2026-06-14 01:07:21,89.9,78.1,21.5,"(1.205078125, 0.57568359375, 0.388671875)"
8,2026-06-14 01:07:26,70.7,77.6,21.5,"(1.74951171875, 0.69921875, 0.4296875)"
9,2026-06-14 01:07:31,50.5,76.9,21.5,"(1.609375, 0.6875, 0.42724609375)"
10,2026-06-14 01:07:36,89.0,77.0,21.5,"(1.48046875, 0.67578125, 0.4248046875)"
11,2026-06-14 01:07:41,94.1,76.6,21.5,"(1.44189453125, 0.681640625, 0.42822265625)"
12,2026-06-14 01:08:00,59.8,76.5,21.5,"(1.2724609375, 0.6865234375, 0.43505859375)"
13,2026-06-14 01:08:05,62.4,76.7,21.5,"(1.17041015625, 0.6748046875, 0.4326171875)"
14,2026-06-14 01:08:10,57.1,76.4,21.5,"(1.2373046875, 0.697265625, 0.44140625)"
15,2026-06-14 01:08:15,49.5,76.3,21.5,"(1.13818359375, 0.685546875, 0.43896484375)"
16,2026-06-14 01:08:20,29.8,76.5,21.5,"(1.44775390625, 0.75732421875, 0.4638671875)"
17,2026-06-14 01:08:25,84.3,76.3,21.5,"(1.33154296875, 0.74462890625, 0.4609375)"
18,2026-06-14 01:08:30,45.5,76.7,21.5,"(1.3046875, 0.7490234375, 0.4638671875)"
19,2026-06-14 01:08:35,17.4,76.6,21.5,"(1.2001953125, 0.736328125, 0.4609375)"
20,2026-06-14 01:08:40,22.3,76.6,21.5,"(1.10400390625, 0.7236328125, 0.4580078125)"
21,2026-06-14 01:08:45,19.5,76.5,21.5,"(1.01513671875, 0.71142578125, 0.455078125)"
22,2026-06-14 01:08:51,25.8,76.2,21.5,"(0.93359375, 0.69921875, 0.4521484375)"
23,2026-06-14 01:08:56,17.9,76.2,21.5,"(0.8583984375, 0.6875, 0.44970703125)"
